date,event_type,previous_value,current_value,details
2026-08-12,LONG_PERIOD_SHIFT,10.666666666666666,21.333333333333332,absolute pct change=1.000
2026-08-12,MID_PERIOD_SHIFT,2.909090909090909,10.666666666666666,absolute pct change=2.667
2026-08-12,COMPONENT_REORDER,1-2-3,3-1-2,LONG-MID-SHORT rank signature changed
2026-08-12,JOINT_REPEAT_CHANGE,32,64,LCM of discrete component repeat periods changed
2026-08-12,REGIME_TO_UNSTABLE,STABLE,UNSTABLE,period-regime classification changed
2026-08-13,LONG_PERIOD_SHIFT,21.333333333333332,10.666666666666666,absolute pct change=0.500
2026-08-13,MID_PERIOD_SHIFT,10.666666666666666,7.111111111111111,absolute pct change=0.333
2026-08-13,COMPONENT_REORDER,3-1-2,1-3-2,LONG-MID-SHORT rank signature changed
2026-08-14,MID_PERIOD_SHIFT,7.111111111111111,2.6666666666666665,absolute pct change=0.625
2026-08-14,COMPONENT_REORDER,1-3-2,2-1-3,LONG-MID-SHORT rank signature changed
2026-08-15,MID_PERIOD_SHIFT,2.6666666666666665,4.266666666666667,absolute pct change=0.600
2026-08-15,COMPONENT_REORDER,2-1-3,2-3-1,LONG-MID-SHORT rank signature changed
2026-08-16,LONG_PERIOD_SHIFT,10.666666666666666,21.333333333333332,absolute pct change=1.000
2026-08-16,MID_PERIOD_SHIFT,4.266666666666667,10.666666666666666,absolute pct change=1.500
2026-08-17,REGIME_TO_STABLE,UNSTABLE,STABLE,period-regime classification changed
2026-08-18,COMPONENT_REORDER,2-3-1,3-2-1,LONG-MID-SHORT rank signature changed
2026-08-18,REGIME_TO_TRANSITION,STABLE,TRANSITION,period-regime classification changed
2026-08-19,REGIME_TO_STABLE,TRANSITION,STABLE,period-regime classification changed
2026-08-21,MID_PERIOD_SHIFT,10.666666666666666,4.266666666666667,absolute pct change=0.600
2026-08-21,COMPONENT_REORDER,3-2-1,2-3-1,LONG-MID-SHORT rank signature changed
2026-08-21,REGIME_TO_UNSTABLE,STABLE,UNSTABLE,period-regime classification changed
